이름,팀,포지션,선발,수비이닝,실책,수비율
김태군,01,포수,139,1,3,0.997
나성범,01,우익수,141,1,6,0.979
박민우,01,2루수,133,1,11,0.983
김하성,02,유격수,139,1,21,0.967
손시헌,01,유격수,137,1,13,0.976
박해민,08,중견수,129,1,3,0.991
오지환,04,유격수,132,1,15,0.978
필,05,1루수,133,1,8,0.993
황재균,06,3루수,128,1,16,0.952
최형우,08,좌익수,134,1,2,0.991
박경수,07,2루수,131,1,6,0.991
김재호,03,유격수,128,1,16,0.971
박병호,02,1루수,131,1,12,0.990
이범호,05,3루수,127,9,9,0.968
이대형,07,중견수,126,9,2,0.991
박석민,08,3루수,129,1,14,0.951
양의지,03,포수,123,1,6,0.994
정훈,06,2루수,127,1,17,0.972
김상수,08,유격수,128,1,18,0.965
김성현,09,유격수,116,9,22,0.957
정수빈,03,중견수,122,1,2,0.992
나바로,08,2루수,124,1,12,0.979
박동원,02,포수,122,1,10,0.990
테임즈,01,1루수,125,1,4,0.996
이종욱,01,중견수,120,1,1,0.996
지석훈,01,3루수,106,8,12,0.952
유강남,04,포수,85,7,3,0.995
정근우,10,2루수,120,1,10,0.984
김종호,01,좌익수,114,8,2,0.990
김현수,03,좌익수,118,9,1,0.995
김태군,01,포수,139,1,3,0.997
나성범,01,우익수,141,1,6,0.979
박민우,01,2루수,133,1,11,0.983
김하성,02,유격수,139,1,21,0.967
손시헌,01,유격수,137,1,13,0.976
박해민,08,중견수,129,1,3,0.991
오지환,04,유격수,132,1,15,0.978
필,05,1루수,133,1,8,0.993
황재균,06,3루수,128,1,16,0.952
최형우,08,좌익수,134,1,2,0.991
박경수,07,2루수,131,1,6,0.991
김재호,03,유격수,128,1,16,0.971
박병호,02,1루수,131,1,12,0.990
이범호,05,3루수,127,9,9,0.968
이대형,07,중견수,126,9,2,0.991
박석민,08,3루수,129,1,14,0.951
양의지,03,포수,123,1,6,0.994
정훈,06,2루수,127,1,17,0.972
김상수,08,유격수,128,1,18,0.965
김성현,09,유격수,116,9,22,0.957
정수빈,03,중견수,122,1,2,0.992
나바로,08,2루수,124,1,12,0.979
박동원,02,포수,122,1,10,0.990
테임즈,01,1루수,125,1,4,0.996
이종욱,01,중견수,120,1,1,0.996
지석훈,01,3루수,106,8,12,0.952
유강남,04,포수,85,7,3,0.995
정근우,10,2루수,120,1,10,0.984
김종호,01,좌익수,114,8,2,0.990
김현수,03,좌익수,118,9,1,0.995
김하성,02,유격수,141,1,21,0.964
손아섭,06,우익수,142,1,3,0.988
허경민,03,3루수,140,1,7,0.979
나성범,01,우익수,139,1,8,0.969
최정,09,3루수,136,1,14,0.964
정근우,10,2루수,137,1,16,0.979
김재호,03,유격수,129,1,10,0.984
최형우,08,좌익수,134,1,3,0.987
김태군,01,포수,121,9,0,1.000
서건창,02,2루수,133,1,15,0.978
히메네스,04,3루수,129,1,17,0.956
백상원,08,2루수,129,1,8,0.985
이범호,05,3루수,128,1,11,0.963
김민성,02,3루수,123,1,7,0.981
박동원,02,포수,122,9,7,0.992
김문호,06,좌익수,117,1,5,0.976
이지영,08,포수,101,8,10,0.987
황재균,06,3루수,122,1,15,0.960
필,05,1루수,121,9,13,0.987
김호령,05,중견수,112,1,3,0.991
오재원,03,2루수,111,9,16,0.970
박해민,08,중견수,107,9,2,0.994
오지환,04,유격수,112,9,17,0.970
박정권,09,1루수,107,9,6,0.994
이대형,07,중견수,107,8,1,0.995
박민우,01,2루수,113,8,14,0.973
이재원,09,포수,111,8,8,0.990
차일목,10,포수,90,7,6,0.991
박석민,01,3루수,111,8,15,0.932
테임즈,01,1루수,111,9,4,0.995
김하성,02,유격수,141,1,21,0.964
손아섭,06,우익수,142,1,3,0.988
허경민,03,3루수,140,1,7,0.979
나성범,01,우익수,139,1,8,0.969
최정,09,3루수,136,1,14,0.964
정근우,10,2루수,137,1,16,0.979
김재호,03,유격수,129,1,10,0.984
최형우,08,좌익수,134,1,3,0.987
김태군,01,포수,121,9,0,1.000
서건창,02,2루수,133,1,15,0.978
히메네스,04,3루수,129,1,17,0.956
백상원,08,2루수,129,1,8,0.985
이범호,05,3루수,128,1,11,0.963
김민성,02,3루수,123,1,7,0.981
박동원,02,포수,122,9,7,0.992
김문호,06,좌익수,117,1,5,0.976
이지영,08,포수,101,8,10,0.987
황재균,06,3루수,122,1,15,0.960
필,05,1루수,121,9,13,0.987
김호령,05,중견수,112,1,3,0.991
오재원,03,2루수,111,9,16,0.970
박해민,08,중견수,107,9,2,0.994
오지환,04,유격수,112,9,17,0.970
박정권,09,1루수,107,9,6,0.994
이대형,07,중견수,107,8,1,0.995
박민우,01,2루수,113,8,14,0.973
이재원,09,포수,111,8,8,0.990
차일목,10,포수,90,7,6,0.991
박석민,01,3루수,111,8,15,0.932
테임즈,01,1루수,111,9,4,0.995
구자욱,08,우익수,144,1,5,0.983
손아섭,06,우익수,139,1,2,0.992
박해민,08,중견수,130,1,1,0.997
김하성,02,유격수,133,1,18,0.972
김민식,05,포수,112,9,8,0.990
권희동,01,좌익수,131,1,2,0.991
김선빈,05,유격수,122,1,14,0.974
김재환,03,좌익수,131,1,8,0.967
김태군,01,포수,122,9,9,0.990
안치홍,05,2루수,126,1,13,0.980
허경민,03,3루수,104,9,5,0.984
강민호,06,포수,120,1,11,0.989
김성현,09,2루수,106,9,6,0.990
김민성,02,3루수,119,1,6,0.983
버나디나,05,중견수,119,9,0,1.000
나성범,01,우익수,123,1,8,0.969
손시헌,01,유격수,107,8,10,0.978
서건창,02,2루수,120,1,12,0.980
박경수,07,2루수,119,9,6,0.989
박건우,03,중견수,116,9,4,0.983
김문호,06,좌익수,93,8,3,0.984
유강남,04,포수,96,8,4,0.995
최정,09,3루수,116,9,6,0.980
이대호,06,1루수,114,9,8,0.992
최형우,05,좌익수,114,9,4,0.981
오재원,03,2루수,82,7,6,0.986
이범호,05,3루수,105,8,13,0.948
이원석,08,3루수,107,9,12,0.956
채은성,04,우익수,80,7,3,0.985
번즈,06,2루수,103,9,8,0.985
구자욱,08,우익수,144,1,5,0.983
손아섭,06,우익수,139,1,2,0.992
박해민,08,중견수,130,1,1,0.997
김하성,02,유격수,133,1,18,0.972
김민식,05,포수,112,9,8,0.990
권희동,01,좌익수,131,1,2,0.991
김선빈,05,유격수,122,1,14,0.974
김재환,03,좌익수,131,1,8,0.967
김태군,01,포수,122,9,9,0.990
안치홍,05,2루수,126,1,13,0.980
허경민,03,3루수,104,9,5,0.984
강민호,06,포수,120,1,11,0.989
김성현,09,2루수,106,9,6,0.990
김민성,02,3루수,119,1,6,0.983
버나디나,05,중견수,119,9,0,1.000
나성범,01,우익수,123,1,8,0.969
손시헌,01,유격수,107,8,10,0.978
서건창,02,2루수,120,1,12,0.980
박경수,07,2루수,119,9,6,0.989
박건우,03,중견수,116,9,4,0.983
김문호,06,좌익수,93,8,3,0.984
유강남,04,포수,96,8,4,0.995
최정,09,3루수,116,9,6,0.980
이대호,06,1루수,114,9,8,0.992
최형우,05,좌익수,114,9,4,0.981
오재원,03,2루수,82,7,6,0.986
이범호,05,3루수,105,8,13,0.948
이원석,08,3루수,107,9,12,0.956
채은성,04,우익수,80,7,3,0.985
번즈,06,2루수,103,9,8,0.985
오지환,04,유격수,142,1,24,0.963
나성범,01,우익수,142,1,3,0.990
하주석,10,유격수,132,1,18,0.968
박해민,08,중견수,134,1,2,0.994
채은성,04,우익수,134,1,3,0.989
이용규,10,중견수,128,1,6,0.978
허경민,03,3루수,121,1,7,0.978
번즈,06,2루수,127,1,22,0.966
로맥,09,1루수,124,1,8,0.993
로하스,07,중견수,130,1,3,0.989
호잉,10,우익수,129,1,3,0.988
김헌곤,08,좌익수,115,1,0,1.000
버나디나,05,중견수,124,1,3,0.988
김재호,03,유격수,114,9,12,0.973
손아섭,06,우익수,125,1,4,0.984
박경수,07,2루수,122,1,14,0.979
김선빈,05,유격수,115,9,12,0.974
유강남,04,포수,109,9,7,0.992
김하성,02,유격수,124,1,13,0.979
임병욱,02,중견수,97,9,5,0.979
최재훈,10,포수,95,8,5,0.994
황재균,07,3루수,123,1,17,0.944
오재원,03,2루수,116,9,16,0.971
장성우,07,포수,107,8,9,0.989
김민식,05,포수,100,8,4,0.995
김상수,08,유격수,120,9,16,0.966
윤석민,07,1루수,115,9,7,0.993
이재원,09,포수,109,8,11,0.987
이원석,08,3루수,117,9,9,0.967
양의지,03,포수,108,8,3,0.996
오지환,04,유격수,142,1,24,0.963
나성범,01,우익수,142,1,3,0.990
하주석,10,유격수,132,1,18,0.968
박해민,08,중견수,134,1,2,0.994
채은성,04,우익수,134,1,3,0.989
이용규,10,중견수,128,1,6,0.978
허경민,03,3루수,121,1,7,0.978
번즈,06,2루수,127,1,22,0.966
로맥,09,1루수,124,1,8,0.993
로하스,07,중견수,130,1,3,0.989
호잉,10,우익수,129,1,3,0.988
김헌곤,08,좌익수,115,1,0,1.000
버나디나,05,중견수,124,1,3,0.988
김재호,03,유격수,114,9,12,0.973
손아섭,06,우익수,125,1,4,0.984
박경수,07,2루수,122,1,14,0.979
김선빈,05,유격수,115,9,12,0.974
유강남,04,포수,109,9,7,0.992
김하성,02,유격수,124,1,13,0.979
임병욱,02,중견수,97,9,5,0.979
최재훈,10,포수,95,8,5,0.994
황재균,07,3루수,123,1,17,0.944
오재원,03,2루수,116,9,16,0.971
장성우,07,포수,107,8,9,0.989
김민식,05,포수,100,8,4,0.995
김상수,08,유격수,120,9,16,0.966
윤석민,07,1루수,115,9,7,0.993
이재원,09,포수,109,8,11,0.987
이원석,08,3루수,117,9,9,0.967
양의지,03,포수,108,8,3,0.996
김성현,09,유격수,132,1,26,0.954
정은원,10,2루수,137,1,13,0.982
박해민,08,중견수,129,1,2,0.995
이재원,09,포수,121,1,6,0.994
박세혁,03,포수,128,1,8,0.991
최정,09,3루수,133,1,14,0.956
전준우,06,좌익수,133,1,4,0.984
오지환,04,유격수,131,1,12,0.981
허경민,03,3루수,124,1,8,0.972
최재훈,10,포수,126,1,6,0.993
로맥,09,1루수,127,1,3,0.997
김재호,03,유격수,116,9,10,0.980
손아섭,06,우익수,125,1,4,0.985
유강남,04,포수,115,9,7,0.992
정주현,04,2루수,124,9,13,0.975
오재일,03,1루수,119,1,4,0.996
이창진,05,중견수,110,9,4,0.986
박경수,07,2루수,121,9,9,0.984
장성우,07,포수,107,9,5,0.993
김재환,03,좌익수,124,1,0,1.000
이천웅,04,중견수,121,1,1,0.996
심우준,07,유격수,113,9,9,0.982
김강민,09,중견수,100,9,3,0.989
박건우,03,우익수,113,9,3,0.987
정수빈,03,중견수,114,1,3,0.990
김상수,08,2루수,117,9,10,0.983
송광민,10,3루수,115,9,16,0.949
오선진,10,유격수,113,9,12,0.975
신본기,06,유격수,108,9,15,0.967
임병욱,02,중견수,101,9,4,0.985
김성현,09,유격수,132,1,26,0.954
정은원,10,2루수,137,1,13,0.982
박해민,08,중견수,129,1,2,0.995
이재원,09,포수,121,1,6,0.994
박세혁,03,포수,128,1,8,0.991
최정,09,3루수,133,1,14,0.956
전준우,06,좌익수,133,1,4,0.984
오지환,04,유격수,131,1,12,0.981
허경민,03,3루수,124,1,8,0.972
최재훈,10,포수,126,1,6,0.993
로맥,09,1루수,127,1,3,0.997
김재호,03,유격수,116,9,10,0.980
손아섭,06,우익수,125,1,4,0.985
유강남,04,포수,115,9,7,0.992
정주현,04,2루수,124,9,13,0.975
오재일,03,1루수,119,1,4,0.996
이창진,05,중견수,110,9,4,0.986
박경수,07,2루수,121,9,9,0.984
장성우,07,포수,107,9,5,0.993
김재환,03,좌익수,124,1,0,1.000
이천웅,04,중견수,121,1,1,0.996
심우준,07,유격수,113,9,9,0.982
김강민,09,중견수,100,9,3,0.989
박건우,03,우익수,113,9,3,0.987
정수빈,03,중견수,114,1,3,0.990
김상수,08,2루수,117,9,10,0.983
송광민,10,3루수,115,9,16,0.949
오선진,10,유격수,113,9,12,0.975
신본기,06,유격수,108,9,15,0.967
임병욱,02,중견수,101,9,4,0.985
