year,name,team,avg,game,pa,ab,run,hit,b2,b3,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,xbh,go,ao,goao,gw,bbk,isop,xr,gpa,era,w,l,wpct,ip,ph,phr,pbb,phbp,pso,r,er,whip,qs,tbf,np,pavg,pb2,pb3,rank,odds,id
2020,로하스,KT,0.38799999999999996,77,339.0,304.0,71.0,118.0,26.0,1.0,29.0,233.0,74.0,0.0,1.0,32.0,2.0,2.0,72.0,7.0,0.7659999999999999,0.44799999999999995,1.214,37.0,0.368,56.0,47.0,68.0,0.69,9.0,0.44,3.99,0.37799999999999995,84.0,,,,,,,,,,,,,,,,,,,,7,0.526,t2007
2020,배정대,KT,0.33,77,324.0,288.0,45.0,95.0,19.0,3.0,9.0,147.0,37.0,3.0,2.0,28.0,0.0,3.0,76.0,4.0,0.51,0.39299999999999996,0.903,26.0,0.3,31.0,50.0,69.0,0.72,1.0,0.37,3.88,0.18100000000000002,54.1,,,,,,,,,,,,,,,,,,,,7,0.526,t2002
2020,조용호,KT,0.318,71,256.0,220.0,45.0,70.0,8.0,0.0,0.0,78.0,16.0,1.0,1.0,32.0,0.0,2.0,44.0,5.0,0.355,0.408,0.763,17.0,0.37,8.0,68.0,39.0,1.74,6.0,0.73,4.57,0.036000000000000004,33.8,,,,,,,,,,,,,,,,,,,,7,0.526,t2003
2020,황재균,KT,0.305,67,298.0,272.0,52.0,83.0,20.0,1.0,10.0,135.0,44.0,2.0,2.0,20.0,0.0,2.0,47.0,4.0,0.496,0.355,0.851,25.0,0.264,31.0,54.0,90.0,0.6,2.0,0.43,3.72,0.191,45.4,,,,,,,,,,,,,,,,,,,,7,0.526,t2003
2020,강백호,KT,0.305,62,269.0,233.0,46.0,71.0,15.0,1.0,12.0,124.0,44.0,0.0,3.0,31.0,3.0,2.0,45.0,5.0,0.532,0.387,0.919,18.0,0.231,28.0,60.0,60.0,1.0,5.0,0.69,3.68,0.22699999999999998,45.9,,,,,,,,,,,,,,,,,,,,7,0.526,t2003
2020,장성우,KT,0.284,73,248.0,215.0,21.0,61.0,7.0,0.0,8.0,92.0,51.0,7.0,4.0,21.0,0.0,1.0,38.0,8.0,0.428,0.344,0.772,16.0,0.353,15.0,61.0,59.0,1.03,4.0,0.55,3.79,0.14400000000000002,31.7,,,,,,,,,,,,,,,,,,,,7,0.526,t2006
2020,박경수,KT,0.27,72,252.0,211.0,25.0,57.0,8.0,0.0,9.0,92.0,39.0,2.0,4.0,31.0,2.0,4.0,63.0,9.0,0.436,0.368,0.804,13.0,0.267,17.0,46.0,49.0,0.94,2.0,0.49,4.36,0.166,34.0,,,,,,,,,,,,,,,,,,,,7,0.526,t2004
2020,심우준,KT,0.231,77,296.0,268.0,30.0,62.0,7.0,2.0,3.0,82.0,28.0,8.0,1.0,18.0,0.0,1.0,57.0,4.0,0.306,0.281,0.5870000000000001,17.0,0.23199999999999998,12.0,83.0,67.0,1.24,2.0,0.32,4.0,0.075,22.9,,,,,,,,,,,,,,,,,,,,7,0.526,t2001
2020,데스파이네,KT,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03,10.0,5.0,0.667,1.0,126.0,10.0,32.0,,95.0,55.0,52.0,1.36,11.0,498.0,1969.0,0.278,22.0,1.0,7,0.526,t2008
2020,쿠에바스,KT,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,5.0,4.0,0.556,7.0,70.0,8.0,26.0,,62.0,38.0,38.0,1.21,6.0,332.0,1312.0,0.239,12.0,1.0,7,0.526,t2007
2020,이정후,키움,0.368,83,368.0,323.0,57.0,119.0,31.0,4.0,13.0,197.0,68.0,2.0,6.0,33.0,4.0,4.0,25.0,8.0,0.61,0.426,1.036,36.0,0.381,48.0,77.0,108.0,0.71,13.0,1.32,3.8,0.24100000000000002,74.6,,,,,,,,,,,,,,,,,,,,2,0.59,t2008
2020,김하성,키움,0.28800000000000003,81,372.0,313.0,73.0,90.0,12.0,1.0,18.0,158.0,66.0,2.0,3.0,49.0,2.0,5.0,38.0,9.0,0.505,0.389,0.894,22.0,0.292,31.0,69.0,119.0,0.58,8.0,1.29,3.7,0.217,63.1,,,,,,,,,,,,,,,,,,,,2,0.59,t2001
2020,서건창,키움,0.285,79,344.0,281.0,48.0,80.0,13.0,5.0,5.0,118.0,31.0,3.0,5.0,52.0,0.0,3.0,36.0,7.0,0.42,0.396,0.816,22.0,0.33899999999999997,23.0,76.0,94.0,0.81,3.0,1.44,3.9,0.135,51.1,,,,,,,,,,,,,,,,,,,,2,0.59,t2007
2020,김혜성,키움,0.27899999999999997,81,306.0,269.0,43.0,75.0,12.0,3.0,6.0,111.0,38.0,0.0,4.0,32.0,0.0,1.0,56.0,3.0,0.413,0.353,0.7659999999999999,17.0,0.35700000000000004,21.0,73.0,69.0,1.06,3.0,0.57,3.86,0.134,41.8,,,,,,,,,,,,,,,,,,,,2,0.59,t2005
2020,박병호,키움,0.23199999999999998,80,337.0,272.0,53.0,63.0,6.0,0.0,20.0,129.0,58.0,0.0,7.0,50.0,2.0,8.0,101.0,8.0,0.474,0.359,0.833,14.0,0.22399999999999998,26.0,46.0,69.0,0.67,6.0,0.5,4.39,0.243,51.2,,,,,,,,,,,,,,,,,,,,2,0.59,t2001
2020,요키시,키움,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,10.0,3.0,0.769,1.0,92.0,6.0,17.0,,65.0,32.0,25.0,1.03,14.0,416.0,1525.0,0.23199999999999998,17.0,3.0,2,0.59,t2001
2020,최원태,키움,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09,6.0,4.0,0.6,8.0,92.0,13.0,23.0,,56.0,55.0,49.0,1.33,8.0,375.0,1360.0,0.26899999999999996,12.0,0.0,2,0.59,t2007
2020,한현희,키움,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,6.0,5.0,0.545,8.0,101.0,6.0,22.0,,67.0,56.0,54.0,1.42,6.0,385.0,1426.0,0.29,13.0,1.0,2,0.59,t2007
2020,허경민,두산,0.368,62,257.0,234.0,33.0,86.0,10.0,1.0,4.0,110.0,33.0,1.0,4.0,15.0,0.0,3.0,15.0,7.0,0.47,0.406,0.8759999999999999,29.0,0.483,15.0,63.0,74.0,0.85,2.0,1.0,3.43,0.10300000000000001,41.5,,,,,,,,,,,,,,,,,,,,3,0.5770000000000001,t2003
2020,페르난데스,두산,0.36200000000000004,80,369.0,323.0,67.0,117.0,18.0,0.0,14.0,177.0,63.0,0.0,5.0,33.0,1.0,8.0,26.0,15.0,0.5479999999999999,0.428,0.976,39.0,0.33299999999999996,32.0,108.0,77.0,1.4,4.0,1.27,3.79,0.18600000000000003,67.0,,,,,,,,,,,,,,,,,,,,3,0.5770000000000001,t2006
2020,오재일,두산,0.349,66,281.0,255.0,37.0,89.0,20.0,0.0,10.0,139.0,51.0,0.0,1.0,25.0,0.0,0.0,45.0,4.0,0.545,0.406,0.951,25.0,0.413,30.0,48.0,74.0,0.65,10.0,0.56,3.69,0.196,50.4,,,,,,,,,,,,,,,,,,,,3,0.5770000000000001,t2008
2020,박건우,두산,0.304,74,324.0,286.0,63.0,87.0,24.0,0.0,6.0,129.0,40.0,0.0,5.0,27.0,2.0,6.0,40.0,4.0,0.451,0.37,0.821,25.0,0.29,30.0,56.0,108.0,0.52,9.0,0.68,3.76,0.147,48.0,,,,,,,,,,,,,,,,,,,,3,0.5770000000000001,t2006
2020,정수빈,두산,0.298,77,291.0,262.0,45.0,78.0,8.0,5.0,2.0,102.0,29.0,5.0,1.0,21.0,2.0,2.0,31.0,6.0,0.389,0.353,0.742,24.0,0.28600000000000003,15.0,87.0,67.0,1.3,2.0,0.68,3.87,0.092,34.6,,,,,,,,,,,,,,,,,,,,3,0.5770000000000001,t2005
2020,최주환,두산,0.29100000000000004,78,319.0,289.0,41.0,84.0,17.0,2.0,10.0,135.0,51.0,0.0,3.0,23.0,3.0,4.0,40.0,6.0,0.467,0.348,0.815,20.0,0.358,29.0,52.0,116.0,0.45,3.0,0.58,4.19,0.17600000000000002,45.1,,,,,,,,,,,,,,,,,,,,3,0.5770000000000001,t2003
2020,김재환,두산,0.282,76,333.0,284.0,49.0,80.0,13.0,0.0,15.0,138.0,66.0,0.0,4.0,45.0,1.0,0.0,87.0,8.0,0.486,0.375,0.861,20.0,0.309,28.0,68.0,53.0,1.28,5.0,0.52,3.87,0.204,52.2,,,,,,,,,,,,,,,,,,,,3,0.5770000000000001,t2001
2020,알칸타라,두산,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,10.0,1.0,0.909,1.0,102.0,8.0,17.0,,98.0,35.0,33.0,1.09,15.0,442.0,1754.0,0.24600000000000002,21.0,1.0,3,0.5770000000000001,t2001
2020,유희관,두산,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06,7.0,6.0,0.5379999999999999,9.0,125.0,10.0,29.0,,34.0,59.0,51.0,1.7,7.0,414.0,1580.0,0.331,24.0,3.0,3,0.5770000000000001,t2004
2020,이영하,두산,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24,3.0,6.0,0.33299999999999996,8.0,111.0,5.0,46.0,,57.0,61.0,52.0,1.76,7.0,422.0,1572.0,0.305,19.0,1.0,3,0.5770000000000001,t2004
2020,손아섭,롯데,0.34600000000000003,75,338.0,292.0,59.0,101.0,24.0,0.0,4.0,137.0,46.0,1.0,5.0,39.0,1.0,1.0,35.0,4.0,0.469,0.418,0.887,30.0,0.36,28.0,89.0,72.0,1.24,6.0,1.11,3.83,0.12300000000000001,56.5,,,,,,,,,,,,,,,,,,,,6,0.527,t2003
2020,마차도,롯데,0.302,75,304.0,268.0,41.0,81.0,17.0,1.0,7.0,121.0,45.0,1.0,5.0,27.0,0.0,3.0,35.0,10.0,0.451,0.366,0.8170000000000001,20.0,0.319,25.0,84.0,73.0,1.15,1.0,0.77,3.88,0.149,43.9,,,,,,,,,,,,,,,,,,,,6,0.527,t2004
2020,이대호,롯데,0.3,75,321.0,283.0,34.0,85.0,18.0,0.0,11.0,136.0,55.0,0.0,3.0,34.0,7.0,1.0,35.0,12.0,0.48100000000000004,0.374,0.855,19.0,0.337,29.0,77.0,89.0,0.87,9.0,0.97,3.47,0.18,46.3,,,,,,,,,,,,,,,,,,,,6,0.527,t2002
2020,안치홍,롯데,0.287,71,292.0,261.0,30.0,75.0,20.0,0.0,4.0,107.0,31.0,3.0,2.0,21.0,1.0,5.0,31.0,6.0,0.41,0.349,0.759,17.0,0.271,24.0,73.0,84.0,0.87,3.0,0.68,3.78,0.12300000000000001,37.1,,,,,,,,,,,,,,,,,,,,6,0.527,t2006
2020,전준우,롯데,0.285,74,337.0,305.0,51.0,87.0,18.0,0.0,15.0,150.0,51.0,1.0,1.0,25.0,0.0,5.0,44.0,10.0,0.49200000000000005,0.348,0.84,25.0,0.231,33.0,84.0,91.0,0.92,4.0,0.57,3.52,0.207,48.4,,,,,,,,,,,,,,,,,,,,6,0.527,t2005
2020,한동희,롯데,0.268,66,251.0,220.0,27.0,59.0,10.0,0.0,10.0,99.0,34.0,3.0,2.0,23.0,0.0,3.0,46.0,6.0,0.45,0.34299999999999997,0.7929999999999999,15.0,0.179,20.0,78.0,39.0,2.0,2.0,0.5,3.76,0.182,33.1,,,,,,,,,,,,,,,,,,,,6,0.527,t2006
2020,민병헌,롯데,0.243,68,264.0,239.0,34.0,58.0,12.0,0.0,2.0,76.0,15.0,4.0,1.0,15.0,1.0,5.0,47.0,8.0,0.318,0.3,0.618,13.0,0.163,14.0,78.0,57.0,1.37,5.0,0.32,3.62,0.075,20.8,,,,,,,,,,,,,,,,,,,,6,0.527,t2002
2020,스트레일리,롯데,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,7.0,3.0,0.7,1.0,85.0,6.0,30.0,,116.0,31.0,26.0,1.0,12.0,453.0,1817.0,0.207,13.0,0.0,6,0.527,t2007
2020,박세웅,롯데,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,5.0,5.0,0.5,7.0,90.0,12.0,28.0,,60.0,48.0,44.0,1.51,4.0,350.0,1333.0,0.28800000000000003,15.0,0.0,6,0.527,t2004
2020,김현수,LG,0.34600000000000003,81,357.0,324.0,59.0,112.0,25.0,1.0,16.0,187.0,70.0,0.0,3.0,30.0,4.0,0.0,28.0,8.0,0.5770000000000001,0.39799999999999996,0.975,34.0,0.486,42.0,92.0,95.0,0.97,9.0,1.07,3.78,0.231,65.1,,,,,,,,,,,,,,,,,,,,4,0.55,t2001
2020,라모스,LG,0.292,75,313.0,274.0,42.0,80.0,12.0,0.0,21.0,155.0,50.0,0.0,4.0,32.0,4.0,3.0,85.0,4.0,0.5660000000000001,0.36700000000000005,0.9329999999999999,22.0,0.28300000000000003,33.0,43.0,70.0,0.61,5.0,0.38,4.03,0.27399999999999997,55.8,,,,,,,,,,,,,,,,,,,,4,0.55,t2003
2020,오지환,LG,0.292,79,322.0,288.0,50.0,84.0,20.0,5.0,9.0,141.0,45.0,4.0,4.0,20.0,0.0,6.0,62.0,2.0,0.49,0.34600000000000003,0.836,20.0,0.297,34.0,67.0,79.0,0.85,1.0,0.32,4.2,0.198,50.1,,,,,,,,,,,,,,,,,,,,4,0.55,t2001
2020,채은성,LG,0.29,66,279.0,255.0,41.0,74.0,9.0,1.0,8.0,109.0,53.0,0.0,3.0,17.0,1.0,4.0,48.0,7.0,0.42700000000000005,0.341,0.768,23.0,0.397,18.0,68.0,68.0,1.0,5.0,0.35,3.73,0.13699999999999998,35.0,,,,,,,,,,,,,,,,,,,,4,0.55,t2009
2020,이천웅,LG,0.28300000000000003,59,268.0,230.0,39.0,65.0,7.0,1.0,1.0,77.0,27.0,2.0,5.0,27.0,0.0,4.0,30.0,2.0,0.335,0.361,0.696,20.0,0.33299999999999996,9.0,74.0,66.0,1.12,2.0,0.9,4.0,0.052000000000000005,31.6,,,,,,,,,,,,,,,,,,,,4,0.55,t2002
2020,유강남,LG,0.275,76,273.0,251.0,31.0,69.0,10.0,0.0,7.0,100.0,47.0,0.0,2.0,12.0,1.0,8.0,55.0,9.0,0.39799999999999996,0.326,0.7240000000000001,17.0,0.41200000000000003,17.0,67.0,62.0,1.08,5.0,0.22,3.46,0.124,30.4,,,,,,,,,,,,,,,,,,,,4,0.55,t2001
2020,임찬규,LG,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,8.0,4.0,0.667,8.0,77.0,8.0,32.0,,82.0,39.0,35.0,1.28,5.0,362.0,1457.0,0.23800000000000002,17.0,0.0,4,0.55,t2010
2020,윌슨,LG,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,6.0,6.0,0.5,9.0,97.0,7.0,33.0,,71.0,49.0,40.0,1.39,11.0,406.0,1519.0,0.267,13.0,1.0,4,0.55,t2004
2020,켈리,LG,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,5.0,6.0,0.455,9.0,104.0,8.0,23.0,,76.0,47.0,45.0,1.33,10.0,403.0,1472.0,0.281,21.0,0.0,4,0.55,t2008
2020,강진성,NC,0.34,68,259.0,238.0,39.0,81.0,16.0,0.0,11.0,130.0,51.0,1.0,4.0,11.0,0.0,5.0,27.0,5.0,0.546,0.376,0.922,21.0,0.373,27.0,67.0,67.0,1.0,6.0,0.41,3.72,0.20600000000000002,45.7,,,,,,,,,,,,,,,,,,,,1,0.635,t2007
2020,박민우,NC,0.321,66,277.0,249.0,44.0,80.0,17.0,2.0,3.0,110.0,27.0,1.0,5.0,20.0,2.0,2.0,23.0,6.0,0.442,0.37,0.812,23.0,0.426,22.0,67.0,84.0,0.8,4.0,0.87,3.91,0.12,39.7,,,,,,,,,,,,,,,,,,,,1,0.635,t2009
2020,이명기,NC,0.312,72,276.0,250.0,40.0,78.0,9.0,2.0,1.0,94.0,29.0,1.0,2.0,21.0,0.0,2.0,45.0,3.0,0.376,0.36700000000000005,0.743,21.0,0.302,12.0,73.0,56.0,1.3,1.0,0.47,3.97,0.064,34.6,,,,,,,,,,,,,,,,,,,,1,0.635,t2006
2020,나성범,NC,0.307,71,329.0,290.0,59.0,89.0,22.0,2.0,19.0,172.0,58.0,0.0,1.0,33.0,1.0,5.0,91.0,5.0,0.593,0.386,0.9790000000000001,29.0,0.304,43.0,52.0,59.0,0.88,10.0,0.36,3.94,0.28600000000000003,60.8,,,,,,,,,,,,,,,,,,,,1,0.635,t2009
2020,알테어,NC,0.295,71,281.0,254.0,52.0,75.0,10.0,5.0,19.0,152.0,65.0,0.0,1.0,19.0,1.0,7.0,80.0,5.0,0.598,0.359,0.9570000000000001,21.0,0.342,34.0,46.0,54.0,0.85,5.0,0.24,3.81,0.303,52.5,,,,,,,,,,,,,,,,,,,,1,0.635,t2010
2020,박석민,NC,0.293,70,260.0,205.0,38.0,60.0,6.0,0.0,10.0,96.0,38.0,2.0,3.0,42.0,2.0,7.0,35.0,3.0,0.46799999999999997,0.424,0.892,8.0,0.321,16.0,54.0,59.0,0.92,5.0,1.2,4.21,0.17600000000000002,44.0,,,,,,,,,,,,,,,,,,,,1,0.635,t2006
2020,권희동,NC,0.282,65,243.0,195.0,41.0,55.0,8.0,0.0,10.0,93.0,33.0,5.0,1.0,37.0,0.0,5.0,43.0,5.0,0.47700000000000004,0.408,0.885,11.0,0.35100000000000003,18.0,42.0,56.0,0.75,3.0,0.86,4.4,0.195,38.9,,,,,,,,,,,,,,,,,,,,1,0.635,t2005
2020,양의지,NC,0.281,64,252.0,217.0,34.0,61.0,14.0,0.0,11.0,108.0,53.0,1.0,4.0,21.0,1.0,9.0,24.0,7.0,0.498,0.363,0.861,16.0,0.387,25.0,50.0,86.0,0.58,8.0,0.88,3.57,0.217,39.1,,,,,,,,,,,,,,,,,,,,1,0.635,t2002
2020,노진혁,NC,0.278,69,257.0,230.0,41.0,64.0,12.0,1.0,13.0,117.0,45.0,1.0,0.0,25.0,1.0,1.0,49.0,6.0,0.509,0.35200000000000004,0.861,19.0,0.32799999999999996,26.0,53.0,64.0,0.83,2.0,0.51,3.78,0.23,38.0,,,,,,,,,,,,,,,,,,,,1,0.635,t2007
2020,구창모,NC,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,9.0,0.0,1.0,8.0,54.0,6.0,17.0,,99.0,17.0,15.0,0.82,12.0,324.0,1266.0,0.17800000000000002,11.0,0.0,1,0.635,t2010
2020,루친스키,NC,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,11.0,2.0,0.846,1.0,94.0,8.0,34.0,,91.0,36.0,34.0,1.2,14.0,441.0,1713.0,0.23800000000000002,8.0,0.0,1,0.635,t2001
2020,라이트,NC,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,6.0,4.0,0.6,8.0,84.0,8.0,37.0,,74.0,41.0,40.0,1.36,8.0,378.0,1579.0,0.251,14.0,0.0,1,0.635,t2006
2020,구자욱,삼성,0.332,57,249.0,220.0,35.0,73.0,15.0,0.0,7.0,109.0,34.0,0.0,2.0,23.0,2.0,4.0,45.0,1.0,0.495,0.402,0.897,23.0,0.25,22.0,49.0,55.0,0.89,4.0,0.51,4.02,0.16399999999999998,42.9,,,,,,,,,,,,,,,,,,,,8,0.46799999999999997,t2002
2020,김상수,삼성,0.32799999999999996,70,296.0,247.0,48.0,81.0,17.0,1.0,3.0,109.0,25.0,1.0,2.0,39.0,1.0,7.0,34.0,11.0,0.441,0.431,0.872,20.0,0.34700000000000003,21.0,76.0,58.0,1.31,4.0,1.15,4.26,0.113,45.1,,,,,,,,,,,,,,,,,,,,8,0.46799999999999997,t2005
2020,박해민,삼성,0.302,69,266.0,245.0,40.0,74.0,10.0,2.0,6.0,106.0,27.0,4.0,0.0,16.0,0.0,1.0,41.0,4.0,0.433,0.34700000000000003,0.78,23.0,0.3,18.0,54.0,76.0,0.71,1.0,0.39,3.82,0.131,34.6,,,,,,,,,,,,,,,,,,,,8,0.46799999999999997,t2003
2020,이원석,삼성,0.27399999999999997,66,257.0,215.0,29.0,59.0,11.0,0.0,8.0,94.0,54.0,1.0,9.0,31.0,0.0,1.0,41.0,4.0,0.43700000000000006,0.355,0.792,15.0,0.373,19.0,46.0,78.0,0.59,2.0,0.76,4.0,0.163,37.5,,,,,,,,,,,,,,,,,,,,8,0.46799999999999997,t2001
2020,뷰캐넌,삼성,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,9.0,6.0,0.6,1.0,101.0,10.0,27.0,,63.0,47.0,44.0,1.25,10.0,423.0,1678.0,0.262,11.0,2.0,8,0.46799999999999997,t2004
2020,최형우,KIA,0.316,75,317.0,272.0,45.0,86.0,17.0,0.0,10.0,133.0,50.0,0.0,2.0,39.0,2.0,4.0,48.0,5.0,0.489,0.40700000000000003,0.8959999999999999,26.0,0.349,27.0,62.0,78.0,0.79,12.0,0.81,4.15,0.17300000000000001,52.3,,,,,,,,,,,,,,,,,,,,5,0.532,t2009
2020,터커,KIA,0.298,77,337.0,292.0,56.0,87.0,22.0,0.0,19.0,166.0,61.0,0.0,0.0,41.0,2.0,4.0,38.0,8.0,0.568,0.392,0.96,22.0,0.32899999999999996,41.0,72.0,95.0,0.76,5.0,1.08,3.88,0.271,59.6,,,,,,,,,,,,,,,,,,,,5,0.532,t2004
2020,나지완,KIA,0.28600000000000003,74,300.0,259.0,40.0,74.0,11.0,0.0,10.0,115.0,51.0,0.0,2.0,31.0,0.0,8.0,57.0,2.0,0.444,0.377,0.821,19.0,0.35100000000000003,21.0,50.0,80.0,0.63,4.0,0.54,3.97,0.158,45.0,,,,,,,,,,,,,,,,,,,,5,0.532,t2005
2020,박찬호,KIA,0.23800000000000002,77,304.0,282.0,41.0,67.0,9.0,0.0,3.0,85.0,20.0,4.0,2.0,16.0,0.0,0.0,57.0,6.0,0.301,0.27699999999999997,0.578,19.0,0.159,12.0,87.0,73.0,1.19,1.0,0.28,3.87,0.064,23.1,,,,,,,,,,,,,,,,,,,,5,0.532,t2008
2020,브룩스,KIA,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,7.0,4.0,0.636,1.0,98.0,3.0,21.0,,90.0,33.0,32.0,1.08,11.0,434.0,1634.0,0.24100000000000002,16.0,0.0,5,0.532,t2007
2020,가뇽,KIA,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,6.0,4.0,0.6,8.0,78.0,2.0,33.0,,81.0,42.0,36.0,1.32,6.0,365.0,1477.0,0.245,19.0,5.0,5,0.532,t2001
2020,양현종,KIA,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,7.0,6.0,0.5379999999999999,8.0,103.0,11.0,30.0,,77.0,59.0,56.0,1.48,8.0,396.0,1554.0,0.289,25.0,3.0,5,0.532,t2010
2020,최정,SK,0.28,76,310.0,254.0,49.0,71.0,16.0,0.0,19.0,144.0,51.0,0.0,3.0,42.0,1.0,11.0,49.0,3.0,0.5670000000000001,0.4,0.9670000000000001,18.0,0.254,35.0,47.0,90.0,0.52,5.0,0.86,3.95,0.287,58.2,,,,,,,,,,,,,,,,,,,,9,0.32899999999999996,t2010
2020,최지훈,SK,0.27,64,256.0,230.0,29.0,62.0,10.0,2.0,1.0,79.0,11.0,4.0,1.0,19.0,0.0,2.0,34.0,2.0,0.34299999999999997,0.32899999999999996,0.672,17.0,0.25,13.0,72.0,63.0,1.14,0.0,0.56,3.79,0.07400000000000001,27.9,,,,,,,,,,,,,,,,,,,,9,0.32899999999999996,t2004
2020,로맥,SK,0.24600000000000002,77,321.0,268.0,40.0,66.0,15.0,0.0,13.0,120.0,36.0,0.0,1.0,51.0,2.0,1.0,69.0,3.0,0.44799999999999995,0.368,0.816,16.0,0.237,28.0,46.0,88.0,0.52,3.0,0.74,4.24,0.201,46.9,,,,,,,,,,,,,,,,,,,,9,0.32899999999999996,t2007
2020,문승원,SK,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,3.0,7.0,0.3,9.0,88.0,10.0,23.0,,76.0,43.0,39.0,1.18,9.0,387.0,1456.0,0.247,21.0,0.0,9,0.32899999999999996,t2009
2020,박종훈,SK,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,6.0,6.0,0.5,8.0,82.0,7.0,39.0,,83.0,49.0,46.0,1.4,6.0,373.0,1554.0,0.252,9.0,2.0,9,0.32899999999999996,t2003
2020,핀토,SK,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66,4.0,8.0,0.33299999999999996,9.0,120.0,5.0,52.0,,50.0,67.0,57.0,1.9,7.0,442.0,1667.0,0.318,23.0,1.0,9,0.32899999999999996,t2006
2020,이용규,한화,0.275,72,291.0,247.0,38.0,68.0,5.0,0.0,1.0,76.0,20.0,1.0,1.0,38.0,0.0,4.0,23.0,5.0,0.308,0.379,0.687,17.0,0.292,6.0,81.0,76.0,1.07,1.0,1.65,4.34,0.032,32.9,,,,,,,,,,,,,,,,,,,,10,0.26899999999999996,t2002
2020,정은원,한화,0.24600000000000002,77,296.0,248.0,28.0,61.0,9.0,2.0,3.0,83.0,29.0,2.0,1.0,41.0,0.0,4.0,38.0,4.0,0.335,0.361,0.696,16.0,0.221,14.0,77.0,73.0,1.05,3.0,1.08,4.34,0.08900000000000001,33.4,,,,,,,,,,,,,,,,,,,,10,0.26899999999999996,t2010
2020,김태균,한화,0.226,64,246.0,212.0,14.0,48.0,11.0,0.0,2.0,65.0,29.0,1.0,2.0,29.0,3.0,2.0,42.0,7.0,0.307,0.322,0.629,12.0,0.33299999999999996,13.0,52.0,72.0,0.72,4.0,0.69,3.96,0.08,21.7,,,,,,,,,,,,,,,,,,,,10,0.26899999999999996,t2003
2020,김민우,한화,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,2.0,7.0,0.222,8.0,74.0,10.0,41.0,,73.0,42.0,38.0,1.4,2.0,365.0,1493.0,0.237,9.0,0.0,10,0.26899999999999996,t2005
2020,장시환,한화,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.0,6.0,0.33299999999999996,7.0,78.0,8.0,44.0,,84.0,39.0,37.0,1.54,7.0,355.0,1447.0,0.257,13.0,1.0,10,0.26899999999999996,t2002
2020,서폴드,한화,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,5.0,9.0,0.35700000000000004,1.0,131.0,8.0,18.0,,59.0,69.0,58.0,1.46,9.0,454.0,1668.0,0.312,22.0,3.0,10,0.26899999999999996,t2009
